2015-06-30-22 26 31.420	2.441101 1.2888641 8.414764
2015-06-30-22 26 31.424	2.600586 1.249588 8.5802
2015-06-30-22 26 31.429	2.6505737 1.1377106 8.689697
2015-06-30-22 26 31.435	2.677948 0.9710846 8.781342
2015-06-30-22 26 31.439	2.536316 0.8139801 8.822998
2015-06-30-22 26 31.444	2.3494568 0.67948914 8.89679
2015-06-30-22 26 31.449	2.081665 0.61997986 9.232422
2015-06-30-22 26 31.455	1.8662415 0.4842987 9.759674
2015-06-30-22 26 31.459	1.606781 0.38789368 10.257172
2015-06-30-22 26 31.465	1.3925476 0.33195496 10.601135
2015-06-30-22 26 31.470	1.2973328 0.2879181 10.842743
2015-06-30-22 26 31.475	1.112854 0.28910828 10.984375
2015-06-30-22 26 31.480	0.9545593 0.3688507 10.845123
2015-06-30-22 26 31.485	0.8022156 0.44026184 10.498779
2015-06-30-22 26 31.490	0.7498474 0.60450745 10.186951
2015-06-30-22 26 31.495	0.59988403 0.75328064 9.623993
2015-06-30-22 26 31.500	0.5201416 0.99964905 9.072937
2015-06-30-22 26 31.505	0.37493896 1.1674652 8.51474
2015-06-30-22 26 31.510	0.2654419 1.4007416 7.9327393
2015-06-30-22 26 31.515	0.08572388 1.5030975 7.5554504
2015-06-30-22 26 31.520	0.030975342 1.6732941 7.015106
2015-06-30-22 26 31.525	-0.008300781 1.8339691 6.692566
2015-06-30-22 26 31.530	-0.14874268 2.000595 6.320038
2015-06-30-22 26 31.535	-0.1713562 2.154129 5.982025
2015-06-30-22 26 31.540	-0.2368164 2.237442 5.7035217
2015-06-30-22 26 31.545	-0.37487793 2.3540802 5.616638
2015-06-30-22 26 31.550	-0.37963867 2.462387 5.582123
2015-06-30-22 26 31.555	-0.34988403 2.532608 5.666626
2015-06-30-22 26 31.560	-0.33084106 2.6587677 5.8487244
2015-06-30-22 26 31.565	-0.34750366 2.629013 6.0534363
2015-06-30-22 26 31.572	-0.3356018 2.7539825 6.371216
2015-06-30-22 26 31.576	-0.5331726 2.852768 6.9794006
2015-06-30-22 26 31.580	-0.5986328 2.8170624 7.636383
2015-06-30-22 26 31.585	-0.65338135 2.686142 8.223145
2015-06-30-22 26 31.590	-0.6890869 2.7206573 8.631378
2015-06-30-22 26 31.596	-0.6093445 2.648056 9.003906
2015-06-30-22 26 31.600	-0.67004395 2.6171112 9.166962
2015-06-30-22 26 31.605	-0.71170044 2.5159454 9.291931
2015-06-30-22 26 31.612	-0.7735901 2.3838348 9.276459
2015-06-30-22 26 31.616	-0.6224365 2.4695282 9.277649
2015-06-30-22 26 31.620	-0.5831604 2.5623627 9.2229
2015-06-30-22 26 31.625	-0.484375 2.692093 9.247894
2015-06-30-22 26 31.630	-0.46295166 2.8372955 9.225281
2015-06-30-22 26 31.636	-0.40582275 2.892044 9.188385
2015-06-30-22 26 31.640	-0.33917236 2.897995 9.338348
2015-06-30-22 26 31.646	-0.26776123 3.026535 9.650177
2015-06-30-22 26 31.651	-0.10708618 3.1324615 9.896545
2015-06-30-22 26 31.656	-0.0892334 3.1050873 10.225037
2015-06-30-22 26 31.661	0.014312744 3.1848297 10.453552
2015-06-30-22 26 31.666	0.007171631 3.2003021 10.718964
2015-06-30-22 26 31.671	0.009552002 3.193161 10.909393
2015-06-30-22 26 31.676	-0.12017822 3.276474 11.281921
2015-06-30-22 26 31.681	-0.32131958 3.2276764 11.804413
2015-06-30-22 26 31.686	-0.46652222 3.155075 12.092438
2015-06-30-22 26 31.691	-0.67837524 2.9824982 12.187653
2015-06-30-22 26 31.696	-0.9687805 2.7670746 12.278107
2015-06-30-22 26 31.701	-1.1508789 2.5552216 12.341187
2015-06-30-22 26 31.706	-1.3865356 2.3600311 12.3090515
2015-06-30-22 26 31.711	-1.5091248 2.2100677 12.060303
2015-06-30-22 26 31.717	-1.5888672 2.0267792 11.705627
2015-06-30-22 26 31.722	-1.6817017 1.8732452 11.442596
2015-06-30-22 26 31.726	-1.8554688 1.7637482 11.041504
2015-06-30-22 26 31.731	-2.0732727 1.6721039 10.599945
2015-06-30-22 26 31.737	-2.1732483 1.5864105 10.282166
2015-06-30-22 26 31.741	-2.3005981 1.5923615 9.977478
2015-06-30-22 26 31.746	-2.280365 1.679245 9.709686
2015-06-30-22 26 31.752	-2.235138 1.8042145 9.520447
2015-06-30-22 26 31.757	-2.1149292 1.9077606 9.441895
2015-06-30-22 26 31.762	-1.9911499 1.9375153 9.28241
2015-06-30-22 26 31.767	-1.805481 1.9029999 9.438324
2015-06-30-22 26 31.772	-1.7066956 1.7292328 9.658508
2015-06-30-22 26 31.777	-1.5495911 1.6780548 9.920349
2015-06-30-22 26 31.782	-1.440094 1.4876251 10.177429
2015-06-30-22 26 31.787	-1.2330017 1.3888397 10.707062
2015-06-30-22 26 31.792	-1.0021057 1.2971954 11.178375
2015-06-30-22 26 31.797	-0.7057495 1.2353058 11.652069
2015-06-30-22 26 31.802	-0.5748291 1.1377106 12.153137
2015-06-30-22 26 31.807	-0.6402893 1.0282135 12.649445
2015-06-30-22 26 31.812	-0.8033447 0.8806305 12.923187
2015-06-30-22 26 31.817	-1.061615 0.71043396 13.061249
2015-06-30-22 26 31.822	-1.2127686 0.59736633 13.1683655
2015-06-30-22 26 31.827	-1.4186707 0.511673 12.946991
2015-06-30-22 26 31.832	-1.5281677 0.4759674 12.414978
2015-06-30-22 26 31.837	-1.6888428 0.39860535 11.810364
2015-06-30-22 26 31.842	-1.7388306 0.44502258 11.071259
2015-06-30-22 26 31.847	-1.773346 0.38432312 10.290497
2015-06-30-22 26 31.852	-1.7412109 0.5176239 9.394287
2015-06-30-22 26 31.858	-1.6091003 0.65449524 8.655182
2015-06-30-22 26 31.862	-1.4412842 0.82588196 8.083893
2015-06-30-22 26 31.867	-1.2960815 0.95085144 7.5375977
2015-06-30-22 26 31.874	-0.6593323 1.2281647 6.78421
2015-06-30-22 26 31.878	-0.32131958 1.3424225 6.642578
2015-06-30-22 26 31.882	0.12857056 1.4185944 6.6640015
2015-06-30-22 26 31.887	0.44277954 1.51857 6.91037
2015-06-30-22 26 31.893	0.68795776 1.6292572 7.36026
2015-06-30-22 26 31.898	0.90219116 1.7125702 8.018433
2015-06-30-22 26 31.903	0.96765137 1.7506561 8.825378
2015-06-30-22 26 31.907	1.0521545 1.7089996 9.5252075
2015-06-30-22 26 31.913	1.0128784 1.550705 10.271454
2015-06-30-22 26 31.919	1.0581055 1.3090973 10.702301
2015-06-30-22 26 31.922	1.1925964 1.024643 10.896301
2015-06-30-22 26 31.928	1.1735535 0.78422546 10.924866
2015-06-30-22 26 31.933	1.0212097 0.61164856 10.971283
2015-06-30-22 26 31.938	0.87838745 0.3438568 10.958191
2015-06-30-22 26 31.943	0.73794556 0.18437195 10.866547
2015-06-30-22 26 31.948	0.6248779 0.07487488 10.547577
2015-06-30-22 26 31.953	0.41064453 -0.07032776 10.142914
2015-06-30-22 26 31.958	0.1987915 -0.23576355 9.85965
2015-06-30-22 26 31.963	0.17141724 -0.36549377 9.553772
2015-06-30-22 26 31.968	0.06430054 -0.48213196 9.140778
2015-06-30-22 26 31.973	-0.008300781 -0.5690155 8.758728
2015-06-30-22 26 31.978	0.014312744 -0.62138367 8.294556
2015-06-30-22 26 31.983	0.054779053 -0.5106964 8.069611
2015-06-30-22 26 31.988	0.20236206 -0.43571472 7.7304077
2015-06-30-22 26 31.993	0.4796753 -0.21791077 7.6720886
2015-06-30-22 26 31.999	0.51538086 -0.09770203 7.430481
2015-06-30-22 26 32.003	0.49276733 0.06297302 7.2091064
2015-06-30-22 26 32.008	0.47372437 0.16889954 7.0948486
2015-06-30-22 26 32.014	0.49038696 0.33790588 6.9544067
2015-06-30-22 26 32.019	0.40826416 0.44026184 7.0055847
2015-06-30-22 26 32.024	0.31661987 0.6164093 6.967499
2015-06-30-22 26 32.029	0.14047241 0.7151947 7.057953
