2015-07-02-19 56 26.889	-0.6176758 -0.033432007 8.690887
2015-07-02-19 56 26.894	-0.5510254 0.0236969 8.677795
2015-07-02-19 56 26.900	-0.52127075 0.028457642 8.784912
2015-07-02-19 56 26.905	-0.41653442 0.1308136 8.794434
2015-07-02-19 56 26.909	-0.39630127 0.22364807 8.728973
2015-07-02-19 56 26.914	-0.34631348 0.2712555 8.7361145
2015-07-02-19 56 26.920	-0.21063232 0.37956238 8.718262
2015-07-02-19 56 26.924	-0.18325806 0.44740295 8.639709
2015-07-02-19 56 26.929	-0.069000244 0.46287537 8.609955
2015-07-02-19 56 26.934	-0.030914307 0.51286316 8.573059
2015-07-02-19 56 26.940	0.038116455 0.59617615 8.45166
2015-07-02-19 56 26.944	0.09524536 0.6235504 8.393341
2015-07-02-19 56 26.950	0.09881592 0.6747284 8.307648
2015-07-02-19 56 26.955	0.14523315 0.75923157 8.182678
2015-07-02-19 56 26.960	0.12142944 0.8377838 8.085083
2015-07-02-19 56 26.964	0.09881592 0.9056244 8.038666
2015-07-02-19 56 26.969	0.13928223 0.95680237 7.879181
2015-07-02-19 56 26.975	0.09762573 1.0853424 7.758972
2015-07-02-19 56 26.980	0.12261963 1.0722504 7.6661377
2015-07-02-19 56 26.985	0.13809204 1.1281891 7.573303
2015-07-02-19 56 26.990	0.16903687 1.0996246 7.6268616
2015-07-02-19 56 26.995	0.16784668 1.1389008 7.5673523
2015-07-02-19 56 27.000	0.048828125 1.13414 7.654236
2015-07-02-19 56 27.005	0.10714722 1.1281891 7.775635
2015-07-02-19 56 27.010	0.08572388 1.0960541 7.8827515
2015-07-02-19 56 27.015	0.044067383 1.0984344 8.00177
2015-07-02-19 56 27.020	-0.003540039 1.0746307 8.151733
2015-07-02-19 56 27.025	-0.060668945 1.0936737 8.434998
2015-07-02-19 56 27.030	-0.05114746 1.1103363 8.64209
2015-07-02-19 56 27.035	-0.13327026 1.0615387 8.943207
2015-07-02-19 56 27.040	-0.15231323 0.9782257 9.070557
2015-07-02-19 56 27.045	-0.16897583 0.9532318 9.2300415
2015-07-02-19 56 27.050	-0.18920898 0.8949127 9.391907
2015-07-02-19 56 27.057	-0.29751587 0.79374695 9.646606
2015-07-02-19 56 27.061	-0.29751587 0.79374695 9.646606
2015-07-02-19 56 27.065	-0.40701294 0.7318573 9.625183
2015-07-02-19 56 27.070	-0.42962646 0.62950134 9.715637
2015-07-02-19 56 27.075	-0.45343018 0.56285095 9.719208
2015-07-02-19 56 27.081	-0.5926819 0.4759674 9.822754
2015-07-02-19 56 27.085	-0.6164856 0.37599182 9.876312
2015-07-02-19 56 27.091	-0.7390747 0.34623718 9.940582
2015-07-02-19 56 27.096	-0.7224121 0.3605194 10.065552
2015-07-02-19 56 27.101	-0.62838745 0.29029846 10.205994
2015-07-02-19 56 27.106	-0.53674316 0.24507141 10.305969
2015-07-02-19 56 27.110	-0.32608032 0.12605286 10.44165
2015-07-02-19 56 27.116	-0.13684082 0.03678894 10.576141
2015-07-02-19 56 27.121	-0.008300781 -0.03224182 10.784424
2015-07-02-19 56 27.126	0.09762573 -0.12388611 10.877258
2015-07-02-19 56 27.131	0.1583252 -0.19767761 10.985565
2015-07-02-19 56 27.136	0.22735596 -0.264328 11.167664
2015-07-02-19 56 27.141	0.12142944 -0.3381195 11.186707
2015-07-02-19 56 27.146	0.15713501 -0.32026672 11.234314
2015-07-02-19 56 27.151	0.05596924 -0.3631134 11.291443
2015-07-02-19 56 27.156	0.0047912598 -0.41786194 11.327148
2015-07-02-19 56 27.161	0.0178833 -0.4369049 11.439026
2015-07-02-19 56 27.166	0.0107421875 -0.4714203 11.553284
2015-07-02-19 56 27.171	0.0178833 -0.44404602 11.728241
2015-07-02-19 56 27.176	0.13095093 -0.44880676 11.974609
2015-07-02-19 56 27.183	0.2321167 -0.3892975 12.092438
2015-07-02-19 56 27.186	0.48324585 -0.38215637 12.267395
2015-07-02-19 56 27.191	0.7367554 -0.38572693 12.382843
2015-07-02-19 56 27.196	0.9402771 -0.3726349 12.594696
2015-07-02-19 56 27.202	1.2378235 -0.40715027 12.760132
2015-07-02-19 56 27.207	1.2640076 -0.30360413 13.317139
2015-07-02-19 56 27.211	1.2640076 -0.30360413 13.317139
2015-07-02-19 56 27.216	0.87005615 -0.22267151 13.875336
2015-07-02-19 56 27.222	0.87005615 -0.22267151 13.875336
2015-07-02-19 56 27.226	0.07977295 -0.3881073 14.6073
2015-07-02-19 56 27.231	-0.33084106 -0.56663513 14.946503
2015-07-02-19 56 27.237	-0.6581421 -0.7844391 15.158356
2015-07-02-19 56 27.242	-0.92355347 -1.0772247 15.276184
2015-07-02-19 56 27.246	-1.2175293 -1.3057404 15.175018
2015-07-02-19 56 27.252	-1.402008 -1.5640106 15.006012
2015-07-02-19 56 27.257	-1.6043396 -1.8175201 14.664429
2015-07-02-19 56 27.262	-1.7828674 -1.9996185 14.245483
2015-07-02-19 56 27.267	-1.920929 -2.1519623 13.632538
2015-07-02-19 56 27.272	-1.8792725 -2.2305145 12.93985
2015-07-02-19 56 27.277	-1.7376404 -2.2221832 12.339996
2015-07-02-19 56 27.282	-1.523407 -2.1971893 11.717529
2015-07-02-19 56 27.287	-1.22229 -2.0876923 11.129578
2015-07-02-19 56 27.292	-0.77001953 -1.861557 10.516632
2015-07-02-19 56 27.297	-0.3284607 -1.6699371 10.021515
2015-07-02-19 56 27.303	0.2737732 -1.3735809 9.656128
2015-07-02-19 56 27.307	0.84625244 -1.1307831 9.199097
2015-07-02-19 56 27.312	1.4972839 -0.81300354 8.818237
2015-07-02-19 56 27.317	2.0269165 -0.53330994 8.529022
2015-07-02-19 56 27.322	2.6089172 -0.22505188 8.363586
2015-07-02-19 56 27.327	3.0088196 0.10105896 8.205292
2015-07-02-19 56 27.332	3.4075317 0.4426422 8.039856
2015-07-02-19 56 27.337	3.775299 0.7461395 7.975586
2015-07-02-19 56 27.343	3.941925 1.0543976 7.7684937
2015-07-02-19 56 27.347	4.109741 1.2591095 7.7934875
2015-07-02-19 56 27.352	4.1121216 1.4554901 7.705414
2015-07-02-19 56 27.359	4.0204773 1.5745087 7.7482605
2015-07-02-19 56 27.363	3.838379 1.6887665 7.68161
2015-07-02-19 56 27.367	3.5348816 1.6209259 7.7161255
2015-07-02-19 56 27.373	3.1028442 1.4947662 7.636383
2015-07-02-19 56 27.378	2.6089172 1.2948151 7.6589966
2015-07-02-19 56 27.383	2.0507202 1.0579681 7.841095
2015-07-02-19 56 27.388	1.4580078 0.85087585 7.9006042
2015-07-02-19 56 27.392	0.9164734 0.6152191 7.931549
2015-07-02-19 56 27.398	0.46658325 0.38432312 8.1267395
2015-07-02-19 56 27.404	0.05834961 0.17008972 8.052948
2015-07-02-19 56 27.408	-0.21182251 0.005844116 8.102936
2015-07-02-19 56 27.413	-0.51174927 -0.16197205 8.121979
2015-07-02-19 56 27.418	-0.70217896 -0.23576355 8.1315
2015-07-02-19 56 27.423	-0.78430176 -0.4035797 7.9648743
2015-07-02-19 56 27.428	-0.8485718 -0.3964386 7.919647
2015-07-02-19 56 27.433	-0.8616638 -0.42262268 7.7946777
2015-07-02-19 56 27.438	-0.9295044 -0.42738342 7.6911316
2015-07-02-19 56 27.443	-0.9295044 -0.28694153 7.572113
2015-07-02-19 56 27.448	-0.9437866 -0.17863464 7.378113
2015-07-02-19 56 27.453	-0.90689087 -0.007247925 7.2983704
2015-07-02-19 56 27.458	-0.86642456 0.18318176 7.2174377
2015-07-02-19 56 27.463	-0.8152466 0.37956238 7.1138916
2015-07-02-19 56 27.468	-0.74502563 0.5283356 7.0103455
2015-07-02-19 56 27.473	-0.76763916 0.71043396 6.9210815
2015-07-02-19 56 27.478	-0.6176758 0.86634827 6.8246765
2015-07-02-19 56 27.484	-0.58673096 0.97346497 6.800873
2015-07-02-19 56 27.488	-0.4915161 1.0543976 6.7794495
2015-07-02-19 56 27.499	-0.38082886 1.1603241 6.7937317
2015-07-02-19 56 27.501	-0.35583496 1.1793671 6.724701
2015-07-02-19 56 27.504	-0.26895142 1.2650604 6.7984924
2015-07-02-19 56 27.509	-0.29275513 1.3102875 6.841339
2015-07-02-19 56 27.513	-0.24038696 1.3079071 6.865143
2015-07-02-19 56 27.519	-0.23800659 1.3376617 7.032959
2015-07-02-19 56 27.524	-0.24752808 1.378128 7.1067505
2015-07-02-19 56 27.529	-0.27252197 1.3816986 7.244812
2015-07-02-19 56 27.533	-0.31298828 1.3364716 7.3388367
2015-07-02-19 56 27.539	-0.4022522 1.3269501 7.4066772
2015-07-02-19 56 27.544	-0.49865723 1.319809 7.519745
2015-07-02-19 56 27.549	-0.66290283 1.2412567 7.675659
2015-07-02-19 56 27.554	-0.74502563 1.2400665 7.7613525
2015-07-02-19 56 27.559	-0.8854675 1.1972198 7.9482117
2015-07-02-19 56 27.564	-0.95806885 1.1674652 8.154114
2015-07-02-19 56 27.569	-0.9473572 1.1293793 8.314789
2015-07-02-19 56 27.574	-0.87713623 1.13414 8.550446
2015-07-02-19 56 27.579	-0.7712097 0.99845886 8.733734
2015-07-02-19 56 27.584	-0.683136 0.91752625 8.882507
2015-07-02-19 56 27.589	-0.6426697 0.90086365 9.128876
2015-07-02-19 56 27.594	-0.5819702 0.8306427 9.337158
2015-07-02-19 56 27.599	-0.54507446 0.85920715 9.41214
2015-07-02-19 56 27.605	-0.5022278 0.9270477 9.5763855
2015-07-02-19 56 27.609	-0.51293945 0.9437103 9.754913
2015-07-02-19 56 27.614	-0.48080444 0.9270477 9.8394165
2015-07-02-19 56 27.619	-0.5415039 1.0115509 9.99057
2015-07-02-19 56 27.625	-0.6141052 1.050827 10.104828
2015-07-02-19 56 27.629	-0.72003174 1.0401154 10.2178955
2015-07-02-19 56 27.634	-0.81762695 1.0603485 10.325012
2015-07-02-19 56 27.639	-0.7950134 1.0686798 10.420227
2015-07-02-19 56 27.645	-0.94140625 1.0520172 10.454742
2015-07-02-19 56 27.649	-0.9878235 1.0662994 10.424988
2015-07-02-19 56 27.654	-1.1461182 1.0341644 10.572571
2015-07-02-19 56 27.661	-1.3805847 0.99012756 10.559479
2015-07-02-19 56 27.665	-1.3805847 0.99012756 10.559479
2015-07-02-19 56 27.670	-1.4924622 1.0222626 10.403564
2015-07-02-19 56 27.675	-1.5126953 0.9698944 10.407135
2015-07-02-19 56 27.680	-1.4686584 0.9782257 10.442841
