2015-07-07-18 33 25.635	-2.0280457 1.3995514 10.032227
2015-07-07-18 33 25.640	-1.7019348 1.281723 10.219086
2015-07-07-18 33 25.645	-1.3591614 1.0543976 10.380951
2015-07-07-18 33 25.651	-1.1615906 0.89967346 10.755859
2015-07-07-18 33 25.656	-0.9937744 0.72114563 11.258118
2015-07-07-18 33 25.660	-0.9699707 0.5735626 11.965088
2015-07-07-18 33 25.665	-1.0723267 0.45811462 12.703003
2015-07-07-18 33 25.671	-1.356781 0.27363586 13.544464
2015-07-07-18 33 25.676	-1.6269531 0.14033508 14.357361
2015-07-07-18 33 25.680	-1.9637756 -0.014389038 14.99054
2015-07-07-18 33 25.685	-2.3482056 -0.12745667 15.364258
2015-07-07-18 33 25.691	-2.5862427 -0.20600891 15.5225525
2015-07-07-18 33 25.696	-2.7921448 -0.20838928 15.361877
2015-07-07-18 33 25.700	-2.9587708 -0.35835266 14.847717
2015-07-07-18 33 25.705	-3.031372 -0.4202423 13.796783
2015-07-07-18 33 25.711	-2.9171143 -0.43095398 12.643494
2015-07-07-18 33 25.716	-2.7576294 -0.32383728 11.502106
2015-07-07-18 33 25.722	-2.5910034 -0.17268372 10.435699
2015-07-07-18 33 25.726	-2.3327332 0.027267456 9.639465
2015-07-07-18 33 25.732	-2.1113586 0.2867279 9.078888
2015-07-07-18 33 25.736	-1.7792969 0.54499817 8.756348
2015-07-07-18 33 25.741	-1.2722778 0.7378082 8.631378
2015-07-07-18 33 25.746	-0.9128418 0.9056244 8.811096
2015-07-07-18 33 25.751	-0.66290283 1.0841522 9.368103
2015-07-07-18 33 25.756	-0.64505005 1.2126923 10.422607
2015-07-07-18 33 25.761	-0.7057495 1.3412323 11.825836
2015-07-07-18 33 25.766	-0.89260864 1.4638214 13.477814
2015-07-07-18 33 25.771	-1.0009155 1.5721283 14.942932
2015-07-07-18 33 25.776	-1.0639954 1.3888397 16.3414
2015-07-07-18 33 25.782	-1.2401428 1.0341644 17.205475
2015-07-07-18 33 25.786	-1.4579468 0.4259796 17.69345
2015-07-07-18 33 25.791	-1.8173828 -0.3059845 17.664886
2015-07-07-18 33 25.796	-2.1054077 -0.9951019 17.230469
