2015-07-03-16 14 47.099	-0.28442383 0.5271454 6.9853516
2015-07-03-16 14 47.104	-0.26776123 0.5176239 7.1400757
2015-07-03-16 14 47.109	-0.25704956 0.5818939 7.373352
2015-07-03-16 14 47.115	-0.21539307 0.62831116 7.514984
2015-07-03-16 14 47.119	-0.22491455 0.6164093 7.6316223
2015-07-03-16 14 47.124	-0.13922119 0.69496155 7.803009
2015-07-03-16 14 47.130	-0.054718018 0.7723236 7.9351196
2015-07-03-16 14 47.135	0.07382202 0.8615875 7.9981995
2015-07-03-16 14 47.139	0.15475464 0.9698944 8.051758
2015-07-03-16 14 47.144	0.32614136 1.0639191 8.119598
2015-07-03-16 14 47.150	0.6677246 1.2710114 8.444519
2015-07-03-16 14 47.155	0.6677246 1.2710114 8.444519
2015-07-03-16 14 47.160	0.87838745 1.313858 8.682556
2015-07-03-16 14 47.165	1.0533447 1.3174286 8.994385
2015-07-03-16 14 47.170	1.388977 1.3317108 9.564484
2015-07-03-16 14 47.175	1.5341797 1.3900299 9.713257
2015-07-03-16 14 47.180	1.7103271 1.4340668 10.021515
2015-07-03-16 14 47.185	1.7436523 1.4435883 10.207184
2015-07-03-16 14 47.190	1.7662659 1.4114532 10.353577
2015-07-03-16 14 47.198	1.7519836 1.3912201 10.422607
2015-07-03-16 14 47.203	1.6436768 1.403122 10.678497
2015-07-03-16 14 47.205	1.40802 1.3233795 10.7439575
2015-07-03-16 14 47.210	1.2901917 1.2400665 10.465454
2015-07-03-16 14 47.216	1.0140686 1.3448029 10.388092
2015-07-03-16 14 47.221	0.7677002 1.332901 10.340485
2015-07-03-16 14 47.225	0.471344 1.3174286 10.225037
2015-07-03-16 14 47.230	0.23806763 1.2745819 10.178619
2015-07-03-16 14 47.236	0.033355713 1.2567291 10.032227
2015-07-03-16 14 47.241	-0.024963379 1.3019562 10.108398
2015-07-03-16 14 47.245	-0.03567505 1.3019562 10.109589
2015-07-03-16 14 47.251	-0.05709839 1.3293304 10.213135
2015-07-03-16 14 47.256	0.123809814 1.4459686 10.30954
2015-07-03-16 14 47.260	0.24639893 1.4662018 10.463074
2015-07-03-16 14 47.265	0.39517212 1.51857 10.724915
2015-07-03-16 14 47.271	0.48919678 1.5269012 10.907013
2015-07-03-16 14 47.277	0.50109863 1.5352325 11.228363
2015-07-03-16 14 47.281	0.55822754 1.5209503 11.389038
2015-07-03-16 14 47.286	0.5844116 1.4983368 11.543762
2015-07-03-16 14 47.291	0.4868164 1.499527 11.586609
2015-07-03-16 14 47.297	0.48443604 1.5007172 11.547333
2015-07-03-16 14 47.301	0.34518433 1.4840546 11.599701
2015-07-03-16 14 47.308	0.24163818 1.493576 11.521149
2015-07-03-16 14 47.311	0.272583 1.5280914 11.493774
2015-07-03-16 14 47.317	0.29638672 1.4447784 11.5199585
2015-07-03-16 14 47.323	0.35113525 1.4650116 11.677063
2015-07-03-16 14 47.327	0.4451599 1.3900299 11.872253
2015-07-03-16 14 47.331	0.46896362 1.2781525 12.138855
2015-07-03-16 14 47.336	0.43206787 1.1008148 12.400696
2015-07-03-16 14 47.341	0.34875488 1.0674896 12.42688
2015-07-03-16 14 47.346	0.21664429 1.1031952 12.459015
2015-07-03-16 14 47.351	0.17736816 1.1067657 12.4756775
2015-07-03-16 14 47.356	0.19165039 1.1198578 12.36261
