2015-07-10-15 49 00.720	-1.7185974 -0.45118713 10.735626
2015-07-10-15 49 00.726	-1.7174072 -0.347641 10.358337
2015-07-10-15 49 00.731	-1.6567078 -0.07865906 9.47879
2015-07-10-15 49 00.735	-1.6567078 -0.07865906 9.47879
2015-07-10-15 49 00.740	-1.6793213 0.08320618 9.109833
2015-07-10-15 49 00.746	-1.6662292 0.16532898 8.775391
2015-07-10-15 49 00.750	-1.7197876 0.3045807 8.407623
2015-07-10-15 49 00.755	-1.6745605 0.44621277 8.12793
2015-07-10-15 49 00.760	-1.7424011 0.52238464 7.87323
2015-07-10-15 49 00.766	-1.6817017 0.60569763 7.6316223
2015-07-10-15 49 00.770	-1.7852478 0.6925812 7.430481
2015-07-10-15 49 00.776	-2.2315674 0.77827454 7.084137
2015-07-10-15 49 00.781	-1.979248 0.83421326 7.148407
2015-07-10-15 49 00.786	-1.7888184 0.86634827 7.219818
2015-07-10-15 49 00.790	-1.5841064 0.9056244 7.174591
2015-07-10-15 49 00.795	-1.4341431 0.93299866 7.1448364
2015-07-10-15 49 00.801	-1.4841309 1.1638947 7.0234375
2015-07-10-15 49 00.806	-1.5484009 1.2400665 6.9853516
2015-07-10-15 49 00.811	-1.6459961 1.2329254 6.942505
2015-07-10-15 49 00.815	-1.6412354 1.255539 7.0043945
2015-07-10-15 49 00.821	-1.6781311 1.2257843 7.0103455
2015-07-10-15 49 00.826	-1.6983643 1.2222137 7.0936584
2015-07-10-15 49 00.831	-1.6614685 1.2483978 7.23172
2015-07-10-15 49 00.836	-1.6567078 1.2924347 7.378113
2015-07-10-15 49 00.841	-1.5829163 1.3388519 7.5756836
2015-07-10-15 49 00.846	-1.5460205 1.3376617 7.757782
2015-07-10-15 49 00.851	-1.5031738 1.3376617 7.8053894
2015-07-10-15 49 00.856	-1.4103394 1.384079 7.9208374
2015-07-10-15 49 00.861	-1.2103882 1.3733673 8.133881
2015-07-10-15 49 00.866	-0.9711609 1.4745331 8.235046
2015-07-10-15 49 00.871	-0.80096436 1.4650116 8.31955
2015-07-10-15 49 00.876	-0.6819458 1.5411835 8.458801
2015-07-10-15 49 00.883	-0.3701172 1.5685577 8.869415
2015-07-10-15 49 00.887	-0.16659546 1.5673676 8.927734
2015-07-10-15 49 00.891	-0.16659546 1.5673676 8.927734
2015-07-10-15 49 00.896	0.1000061 1.5721283 9.297882
2015-07-10-15 49 00.901	0.2571106 1.576889 9.516876
2015-07-10-15 49 00.907	0.40945435 1.5578461 9.627563
2015-07-10-15 49 00.911	0.5260925 1.5388031 9.79895
2015-07-10-15 49 00.916	0.5796509 1.4459686 9.962006
2015-07-10-15 49 00.921	0.61416626 1.4364471 10.251221
2015-07-10-15 49 00.927	0.5701294 1.3448029 10.370239
2015-07-10-15 49 00.931	0.5451355 1.2983856 10.610657
2015-07-10-15 49 00.936	0.61535645 1.204361 10.803467
2015-07-10-15 49 00.942	0.6046448 1.1638947 10.802277
2015-07-10-15 49 00.947	0.5058594 1.0948639 10.937958
2015-07-10-15 49 00.952	0.5629883 1.0841522 10.882019
2015-07-10-15 49 00.959	0.5844116 1.0484467 10.948669
2015-07-10-15 49 00.962	0.5784607 1.1186676 10.748718
2015-07-10-15 49 00.967	0.6677246 1.1674652 10.732056
2015-07-10-15 49 00.972	0.75341797 1.2388763 10.623749
2015-07-10-15 49 00.977	0.78674316 1.281723 10.517822
2015-07-10-15 49 00.982	0.7165222 1.2757721 10.401184
2015-07-10-15 49 00.987	0.7581787 1.2912445 10.286926
2015-07-10-15 49 00.992	0.78674316 1.2674408 10.18338
2015-07-10-15 49 00.997	0.79507446 1.2567291 10.264313
2015-07-10-15 49 01.002	0.7581787 1.2924347 10.24527
2015-07-10-15 49 01.007	0.76174927 1.2793427 10.18338
2015-07-10-15 49 01.012	0.8319702 1.1805573 10.131012
2015-07-10-15 49 01.017	0.7998352 1.1900787 10.095306
