2015-07-01-19 44 49.730	-0.38320923 0.89372253 11.191467
2015-07-01-19 44 49.735	-0.34988403 1.0436859 10.0381775
2015-07-01-19 44 49.740	-0.15707397 1.1746063 9.096741
2015-07-01-19 44 49.746	0.06072998 1.2222137 8.263611
2015-07-01-19 44 49.750	0.24401855 1.1841278 7.6375732
2015-07-01-19 44 49.755	0.4618225 1.1757965 7.162689
2015-07-01-19 44 49.760	0.72128296 1.0936737 6.7544556
2015-07-01-19 44 49.765	0.91052246 1.0091705 6.435486
2015-07-01-19 44 49.770	0.9474182 0.95085144 6.116516
2015-07-01-19 44 49.775	1.1116638 0.9532318 5.865387
2015-07-01-19 44 49.780	1.1759338 0.85920715 5.7975464
2015-07-01-19 44 49.785	1.2104492 0.9401398 6.122467
2015-07-01-19 44 49.790	1.1616516 0.9532318 6.672333
2015-07-01-19 44 49.795	1.1176147 1.0472565 7.392395
2015-07-01-19 44 49.800	1.0878601 1.0901031 8.091034
2015-07-01-19 44 49.805	1.029541 0.99012756 8.650421
2015-07-01-19 44 49.811	1.1069031 0.9234772 8.909882
2015-07-01-19 44 49.815	1.1009521 0.8151703 9.105072
2015-07-01-19 44 49.820	0.98550415 0.6485443 9.118164
2015-07-01-19 44 49.827	0.88671875 0.60569763 8.680176
2015-07-01-19 44 49.831	0.88671875 0.60569763 8.680176
2015-07-01-19 44 49.835	0.8081665 0.70210266 8.333832
2015-07-01-19 44 49.840	0.5927429 0.74494934 8.054138
2015-07-01-19 44 49.845	0.30947876 0.85087585 7.7946777
2015-07-01-19 44 49.851	0.0262146 0.91752625 7.591156
2015-07-01-19 44 49.855	-0.14755249 1.0175018 7.3959656
2015-07-01-19 44 49.860	-0.28204346 1.031784 7.243622
2015-07-01-19 44 49.866	-0.35821533 1.0127411 7.2602844
2015-07-01-19 44 49.872	-0.42367554 0.93418884 7.345978
2015-07-01-19 44 49.876	-0.44628906 0.9556122 7.3757324
2015-07-01-19 44 49.881	-0.43081665 0.9437103 7.335266
2015-07-01-19 44 49.886	-0.33084106 0.9044342 7.4888
2015-07-01-19 44 49.891	-0.20825195 0.9210968 7.5245056
2015-07-01-19 44 49.896	-0.044006348 0.90919495 7.6328125
2015-07-01-19 44 49.901	0.02859497 0.8246918 7.861328
2015-07-01-19 44 49.906	0.27139282 0.75328064 7.9720154
2015-07-01-19 44 49.911	0.2892456 0.6652069 8.042236
2015-07-01-19 44 49.916	0.17974854 0.56404114 8.162445
2015-07-01-19 44 49.921	-0.010681152 0.46644592 8.19577
2015-07-01-19 44 49.926	-0.25228882 0.345047 8.285034
2015-07-01-19 44 49.931	-0.4831848 0.20698547 8.509979
2015-07-01-19 44 49.936	-0.8295288 0.18318176 8.974152
2015-07-01-19 44 49.941	-1.2484741 0.13438416 9.54187
2015-07-01-19 44 49.946	-1.5400696 0.07249451 10.195282
2015-07-01-19 44 49.952	-1.7792969 -0.021530151 10.986755
2015-07-01-19 44 49.956	-1.9375916 -0.092941284 11.819885
2015-07-01-19 44 49.961	-2.0292358 -0.22743225 12.455444
2015-07-01-19 44 49.966	-2.0697021 -0.35716248 12.920807
2015-07-01-19 44 49.972	-1.9328308 -0.41905212 13.32309
2015-07-01-19 44 49.977	-1.3008423 -0.5368805 13.764648
2015-07-01-19 44 49.981	-1.3008423 -0.5368805 13.764648
2015-07-01-19 44 49.986	-0.9295044 -0.56663513 13.932465
2015-07-01-19 44 49.992	-0.6759949 -0.61305237 13.936035
2015-07-01-19 44 49.996	-0.42129517 -0.62257385 13.921753
2015-07-01-19 44 50.001	-0.1963501 -0.46784973 13.911041
2015-07-01-19 44 50.007	-0.06185913 -0.2893219 13.805115
2015-07-01-19 44 50.012	-0.27371216 0.02607727 13.469482
2015-07-01-19 44 50.017	-0.91641235 0.09867859 12.901764
2015-07-01-19 44 50.022	-1.5281677 0.08320618 12.10553
2015-07-01-19 44 50.027	-2.3410645 0.08796692 10.367859
2015-07-01-19 44 50.032	-2.3410645 0.08796692 10.367859
2015-07-01-19 44 50.037	-2.4565125 0.23554993 9.677551
2015-07-01-19 44 50.042	-2.498169 0.50572205 9.183624
2015-07-01-19 44 50.047	-2.6945496 0.71162415 9.013428
2015-07-01-19 44 50.052	-2.8611755 0.8544464 9.337158
2015-07-01-19 44 50.057	-2.9754333 0.9151459 9.833466
2015-07-01-19 44 50.062	-2.9254456 0.99250793 10.30954
2015-07-01-19 44 50.067	-2.254181 0.76756287 11.298584
2015-07-01-19 44 50.073	-1.8709412 0.49977112 11.818695
2015-07-01-19 44 50.077	-1.6079102 0.18556213 12.151947
2015-07-01-19 44 50.082	-1.4186707 -0.13816833 12.568512
2015-07-01-19 44 50.087	-1.2984619 -0.32026672 12.914856
2015-07-01-19 44 50.093	-1.3460693 -0.37620544 13.1814575
2015-07-01-19 44 50.097	-1.3008423 -0.3881073 13.236206
2015-07-01-19 44 50.102	-1.4746094 -0.1738739 13.236206
2015-07-01-19 44 50.107	-1.6102905 0.059402466 13.179077
2015-07-01-19 44 50.113	-1.7900085 0.4938202 13.177887
2015-07-01-19 44 50.117	-2.023285 0.76994324 12.931519
2015-07-01-19 44 50.123	-2.2815552 1.1269989 12.820831
2015-07-01-19 44 50.129	-2.4934082 1.4019318 12.476868
2015-07-01-19 44 50.133	-2.6314697 1.6197357 11.938904
2015-07-01-19 44 50.138	-2.6100464 1.9065704 11.283112
2015-07-01-19 44 50.143	-2.4362793 2.1398468 10.563049
2015-07-01-19 44 50.148	-2.2410889 2.2790985 9.881073
2015-07-01-19 44 50.153	-1.9709167 2.41716 9.322876
2015-07-01-19 44 50.158	-1.5519714 2.5076141 8.905121
2015-07-01-19 44 50.163	-1.2044373 2.506424 8.665894
2015-07-01-19 44 50.168	-0.8223877 2.430252 8.45047
2015-07-01-19 44 50.174	-0.44509888 2.358841 8.277893
