2015-07-09-12 08 42.922	1.0188293 -1.1260223 7.5697327
2015-07-09-12 08 42.925	0.99502563 -1.0831757 7.3495483
2015-07-09-12 08 42.930	0.9664612 -1.0641327 7.2424316
2015-07-09-12 08 42.935	1.0223999 -1.0200958 7.1567383
2015-07-09-12 08 42.940	1.1521301 -1.002243 7.155548
2015-07-09-12 08 42.945	1.2675781 -0.9629669 7.142456
2015-07-09-12 08 42.950	1.3389893 -0.9391632 7.23291
2015-07-09-12 08 42.955	1.5210876 -0.97724915 7.213867
2015-07-09-12 08 42.960	1.5865479 -1.0093842 7.3126526
2015-07-09-12 08 42.965	1.2973328 -0.8498993 7.322174
2015-07-09-12 08 42.971	1.4032593 -0.71302795 7.200775
2015-07-09-12 08 42.976	1.5032349 -0.62138367 7.411438
2015-07-09-12 08 42.980	1.4020691 -0.54878235 7.386444
2015-07-09-12 08 42.985	1.3223267 -0.41548157 7.3519287
2015-07-09-12 08 42.991	1.2616272 -0.28337097 7.275757
2015-07-09-12 08 42.995	1.2271118 -0.29884338 7.2210083
2015-07-09-12 08 43.000	1.2390137 -0.19529724 7.1388855
2015-07-09-12 08 43.006	1.1878357 -0.18101501 7.110321
2015-07-09-12 08 43.011	1.1925964 -0.20957947 6.9853516
2015-07-09-12 08 43.015	0.9878845 -0.21910095 6.9341736
2015-07-09-12 08 43.021	0.92123413 -0.2238617 6.800873
2015-07-09-12 08 43.026	0.8010254 -0.14411926 6.821106
2015-07-09-12 08 43.031	0.71414185 -0.15840149 6.750885
2015-07-09-12 08 43.036	0.7010498 -0.15007019 6.8818054
2015-07-09-12 08 43.041	0.67129517 -0.17625427 6.9901123
2015-07-09-12 08 43.046	0.64749146 -0.20362854 7.1912537
2015-07-09-12 08 43.051	0.6689148 -0.25004578 7.4150085
2015-07-09-12 08 43.056	0.76651 -0.23576355 7.629242
2015-07-09-12 08 43.061	0.7165222 -0.2881317 7.9803467
2015-07-09-12 08 43.066	0.7593689 -0.35835266 8.238617
2015-07-09-12 08 43.071	0.7081909 -0.35240173 8.595673
2015-07-09-12 08 43.076	0.64749146 -0.44761658 8.89917
2015-07-09-12 08 43.081	0.59988403 -0.4797516 9.078888
2015-07-09-12 08 43.086	0.5284729 -0.5297394 9.360962
2015-07-09-12 08 43.091	0.4701538 -0.5297394 9.574005
2015-07-09-12 08 43.096	0.3808899 -0.495224 9.722778
2015-07-09-12 08 43.101	0.3392334 -0.49284363 9.869171
2015-07-09-12 08 43.106	0.3142395 -0.48332214 10.045319
2015-07-09-12 08 43.112	0.26068115 -0.4547577 10.126251
2015-07-09-12 08 43.116	0.24758911 -0.48332214 10.227417
2015-07-09-12 08 43.121	0.22616577 -0.4214325 10.370239
2015-07-09-12 08 43.129	0.19284058 -0.35240173 10.652313
2015-07-09-12 08 43.133	0.19284058 -0.35240173 10.652313
2015-07-09-12 08 43.136	0.1749878 -0.3809662 10.751099
2015-07-09-12 08 43.141	0.22140503 -0.3643036 10.88678
2015-07-09-12 08 43.147	0.19165039 -0.32621765 10.914154
2015-07-09-12 08 43.152	0.24163818 -0.32383728 10.928436
2015-07-09-12 08 43.156	0.3309021 -0.30360413 10.923676
2015-07-09-12 08 43.161	0.46777344 -0.3214569 10.862976
2015-07-09-12 08 43.167	0.4618225 -0.34883118 10.726105
2015-07-09-12 08 43.172	0.52371216 -0.35359192 10.6796875
2015-07-09-12 08 43.177	0.6272583 -0.36787415 10.467834
2015-07-09-12 08 43.182	0.63916016 -0.4297638 10.354767
2015-07-09-12 08 43.187	0.66296387 -0.4702301 10.2500305
2015-07-09-12 08 43.192	0.7355652 -0.50712585 10.171478
2015-07-09-12 08 43.197	0.70462036 -0.49284363 10.197662
2015-07-09-12 08 43.202	0.5522766 -0.5428314 10.394043
2015-07-09-12 08 43.207	0.522522 -0.527359 10.790375
2015-07-09-12 08 43.212	0.46420288 -0.50593567 11.283112
2015-07-09-12 08 43.217	0.49276733 -0.47618103 11.735382
2015-07-09-12 08 43.222	0.5296631 -0.56425476 12.069824
2015-07-09-12 08 43.227	0.62249756 -0.6904144 12.326904
2015-07-09-12 08 43.233	0.61416626 -0.8998871 12.642303
2015-07-09-12 08 43.237	0.64630127 -0.9641571 12.870819
2015-07-09-12 08 43.242	0.6677246 -1.0546112 13.0065
2015-07-09-12 08 43.248	0.7677002 -1.2045746 13.205261
2015-07-09-12 08 43.252	0.901001 -1.2831268 13.13623
2015-07-09-12 08 43.257	1.0140686 -1.4319 12.966034
2015-07-09-12 08 43.262	1.0914307 -1.3854828 12.68158
2015-07-09-12 08 43.268	1.2033081 -1.3402557 12.354279
2015-07-09-12 08 43.273	1.298523 -1.1891022 11.9627075
2015-07-09-12 08 43.279	1.2425842 -0.63923645 11.104584
2015-07-09-12 08 43.282	1.2425842 -0.63923645 11.104584
2015-07-09-12 08 43.288	1.0283508 -0.3892975 10.867737
2015-07-09-12 08 43.293	0.8426819 -0.18815613 10.663025
2015-07-09-12 08 43.298	0.71295166 -0.06794739 10.729675
2015-07-09-12 08 43.303	0.54751587 0.028457642 10.921295
2015-07-09-12 08 43.308	0.41659546 0.1058197 11.285492
2015-07-09-12 08 43.313	0.34875488 0.123672485 11.7829895
2015-07-09-12 08 43.318	0.34042358 0.005844116 12.186462
2015-07-09-12 08 43.323	0.22854614 -0.26313782 12.573273
2015-07-09-12 08 43.328	-0.10232544 -0.8653717 12.760132
2015-07-09-12 08 43.333	-0.10232544 -0.8653717 12.760132
2015-07-09-12 08 43.338	-0.37606812 -1.1450653 12.601837
2015-07-09-12 08 43.343	-0.52127075 -1.4497528 12.326904
2015-07-09-12 08 43.348	-0.65338135 -1.7496796 11.966278
2015-07-09-12 08 43.353	-0.7045593 -2.0579376 11.481873
2015-07-09-12 08 43.358	-0.7569275 -2.2352753 11.115295
2015-07-09-12 08 43.363	-0.8985596 -2.406662 10.773712
2015-07-09-12 08 43.368	-1.0913696 -2.5173492 9.906067
2015-07-09-12 08 43.373	-1.0913696 -2.5173492 9.906067
2015-07-09-12 08 43.378	-1.061615 -2.4340363 9.641846
2015-07-09-12 08 43.383	-1.15802 -2.3447723 9.240753
2015-07-09-12 08 43.388	-1.0520935 -2.1388702 8.890839
2015-07-09-12 08 43.394	-0.89141846 -1.8579865 8.693268
2015-07-09-12 08 43.398	-0.75930786 -1.6854095 8.595673
2015-07-09-12 08 43.403	-0.49865723 -1.3712006 8.534973
2015-07-09-12 08 43.408	-0.2630005 -1.0105743 8.526642
2015-07-09-12 08 43.414	-0.010681152 -0.77967834 8.414764
2015-07-09-12 08 43.418	0.25354004 -0.49998474 8.495697
2015-07-09-12 08 43.423	0.5522766 -0.22862244 8.413574
2015-07-09-12 08 43.431	0.87838745 -0.06913757 8.360016
2015-07-09-12 08 43.435	1.2509155 0.07487488 8.311218
2015-07-09-12 08 43.438	1.5579834 0.10105896 8.32431
2015-07-09-12 08 43.443	1.773407 0.059402466 8.25885
2015-07-09-12 08 43.449	1.8257751 -0.033432007 8.365967
2015-07-09-12 08 43.454	1.9031372 -0.15245056 8.339783
2015-07-09-12 08 43.459	1.7567444 -0.2393341 8.340973
2015-07-09-12 08 43.464	1.606781 -0.39286804 8.529022
2015-07-09-12 08 43.469	1.3128052 -0.495224 8.663513
2015-07-09-12 08 43.475	1.0021667 -0.68089294 8.77063
2015-07-09-12 08 43.479	0.6867676 -0.8058624 8.914642
2015-07-09-12 08 43.484	0.3975525 -0.96891785 8.882507
2015-07-09-12 08 43.489	0.1499939 -1.104599 9.032471
2015-07-09-12 08 43.494	-0.044006348 -1.2498016 9.068176
2015-07-09-12 08 43.499	-0.24633789 -1.3854828 9.243134
2015-07-09-12 08 43.504	-0.43676758 -1.5247345 9.238373
2015-07-09-12 08 43.509	-0.52127075 -1.6080475 9.241943
2015-07-09-12 08 43.514	-0.631958 -1.6223297 9.280029
2015-07-09-12 08 43.519	-0.6141052 -1.5687714 9.277649
2015-07-09-12 08 43.524	-0.6652832 -1.5425873 9.136017
2015-07-09-12 08 43.529	-0.62005615 -1.4140472 9.09198
2015-07-09-12 08 43.535	-0.5664978 -1.2914581 8.975342
2015-07-09-12 08 43.539	-0.49032593 -1.2117157 8.817047
2015-07-09-12 08 43.544	-0.34988403 -1.136734 8.6718445
2015-07-09-12 08 43.549	-0.19992065 -1.0331879 8.492126
2015-07-09-12 08 43.555	-0.055908203 -0.9010773 8.350494
2015-07-09-12 08 43.559	-0.049957275 -0.8403778 8.167206
2015-07-09-12 08 43.564	0.030975342 -0.6951752 8.049377
2015-07-09-12 08 43.570	-0.013061523 -0.6356659 7.9029846
2015-07-09-12 08 43.575	-0.045196533 -0.5547333 7.7684937
2015-07-09-12 08 43.581	-0.03567505 -0.4380951 7.6185303
2015-07-09-12 08 43.584	-0.13327026 -0.39286804 7.4864197
2015-07-09-12 08 43.590	-0.15112305 -0.35359192 7.564972
2015-07-09-12 08 43.595	-0.221344 -0.27861023 7.636383
2015-07-09-12 08 43.600	-0.2546692 -0.29527283 7.7304077
2015-07-09-12 08 43.605	-0.2046814 -0.25004578 7.9410706
2015-07-09-12 08 43.610	-0.1546936 -0.2476654 8.160065
2015-07-09-12 08 43.615	-0.13446045 -0.3059845 8.364777
2015-07-09-12 08 43.620	-0.16897583 -0.33216858 8.471893
2015-07-09-12 08 43.625	-0.12136841 -0.36192322 8.639709
2015-07-09-12 08 43.630	-0.101135254 -0.4285736 8.7742
2015-07-09-12 08 43.635	-0.16778564 -0.44761658 8.807526
2015-07-09-12 08 43.640	-0.08804321 -0.527359 8.907501
2015-07-09-12 08 43.645	-0.24871826 -0.57496643 8.757538
2015-07-09-12 08 43.650	-0.23800659 -0.55592346 8.668274
2015-07-09-12 08 43.655	-0.30584717 -0.57258606 8.533783
2015-07-09-12 08 43.660	-0.33917236 -0.5832977 8.459991
2015-07-09-12 08 43.665	-0.42367554 -0.58091736 8.327881
2015-07-09-12 08 43.671	-0.47128296 -0.63209534 8.408813
2015-07-09-12 08 43.676	-0.4855652 -0.54997253 8.335022
2015-07-09-12 08 43.680	-0.52246094 -0.5951996 8.31955
2015-07-09-12 08 43.685	-0.6069641 -0.59043884 8.38382
2015-07-09-12 08 43.690	-0.5855408 -0.6023407 8.445709
2015-07-09-12 08 43.696	-0.548645 -0.56425476 8.600433
2015-07-09-12 08 43.700	-0.5105591 -0.5452118 8.725403
2015-07-09-12 08 43.705	-0.46295166 -0.4868927 8.801575
2015-07-09-12 08 43.711	-0.53674316 -0.5130768 8.976532
2015-07-09-12 08 43.716	-0.5653076 -0.43452454 9.001526
2015-07-09-12 08 43.720	-0.5403137 -0.43452454 9.066986
2015-07-09-12 08 43.726	-0.6236267 -0.37620544 9.150299
2015-07-09-12 08 43.733	-0.5926819 -0.35716248 9.149109
2015-07-09-12 08 43.737	-0.53674316 -0.39167786 9.139587
2015-07-09-12 08 43.740	-0.40344238 -0.36906433 9.047943
2015-07-09-12 08 43.746	-0.285614 -0.3381195 9.049133
2015-07-09-12 08 43.751	-0.13922119 -0.3297882 9.133636
2015-07-09-12 08 43.756	0.05001831 -0.32740784 9.107452
2015-07-09-12 08 43.761	0.12857056 -0.26075745 9.269318
2015-07-09-12 08 43.768	0.31661987 -0.24409485 9.352631
2015-07-09-12 08 43.771	0.4284973 -0.31669617 9.388336
2015-07-09-12 08 43.777	0.5308533 -0.30717468 9.629944
