2015-06-14-11:32:15.184	-0.49389648 2.076767 9.752533
2015-06-14-11:32:15.189	-0.4677124 2.070816 9.744202
2015-06-14-11:32:15.195	-0.5522156 2.1100922 9.751343
2015-06-14-11:32:15.199	-0.48675537 2.1041412 9.73468
2015-06-14-11:32:15.205	-0.52960205 2.1231842 9.7561035
2015-06-14-11:32:15.210	-0.51174927 2.1041412 9.619232
2015-06-14-11:32:15.215	-0.5010376 2.1327057 9.709686
2015-06-14-11:32:15.220	-0.4343872 2.0946198 9.634705
2015-06-14-11:32:15.225	-0.44628906 2.102951 9.719208
2015-06-14-11:32:15.230	-0.4343872 2.1815033 9.687073
2015-06-14-11:32:15.235	-0.38201904 2.146988 9.683502
2015-06-14-11:32:15.240	-0.26419067 2.1398468 9.6716
2015-06-14-11:32:15.245	-0.3605957 2.198166 9.753723
2015-06-14-11:32:15.252	-0.3439331 2.1684113 9.7239685
2015-06-14-11:32:15.256	-0.3439331 2.1684113 9.7239685
2015-06-14-11:32:15.260	-0.35107422 2.2552948 9.833466
2015-06-14-11:32:15.265	-0.42843628 2.2088776 9.729919
2015-06-14-11:32:15.270	-0.4689026 2.2219696 9.773956
2015-06-14-11:32:15.275	-0.4689026 2.28862 9.719208
2015-06-14-11:32:15.280	-0.55340576 2.2231598 9.6406555
2015-06-14-11:32:15.285	-0.49389648 2.2743378 9.584717
2015-06-14-11:32:15.290	-0.5188904 2.3183746 9.588287
2015-06-14-11:32:15.296	-0.5236511 2.2517242 9.524017
2015-06-14-11:32:15.300	-0.5415039 2.2517242 9.546631
2015-06-14-11:32:15.305	-0.5426941 2.2517242 9.656128
2015-06-14-11:32:15.310	-0.46414185 2.2731476 9.653748
2015-06-14-11:32:15.316	-0.4510498 2.2552948 9.708496
2015-06-14-11:32:15.320	-0.4355774 2.2552948 9.763245
2015-06-14-11:32:15.325	-0.41415405 2.2136383 9.829895
2015-06-14-11:32:15.330	-0.35583496 2.2779083 9.947723
2015-06-14-11:32:15.336	-0.3772583 2.2124481 9.960815
2015-06-14-11:32:15.340	-0.32965088 2.211258 9.960815
2015-06-14-11:32:15.346	-0.3284607 2.2219696 9.98938
2015-06-14-11:32:15.351	-0.3439331 2.2207794 9.983429
2015-06-14-11:32:15.356	-0.4189148 2.231491 10.101257
2015-06-14-11:32:15.361	-0.4177246 2.231491 10.05603
2015-06-14-11:32:15.366	-0.42129517 2.2338715 9.99057
2015-06-14-11:32:15.371	-0.4605713 2.2064972 9.971527
2015-06-14-11:32:15.376	-0.4510498 2.2195892 9.912018
2015-06-14-11:32:15.381	-0.43200684 2.2041168 9.948914
2015-06-14-11:32:15.386	-0.47366333 2.198166 9.825134
2015-06-14-11:32:15.391	-0.42129517 2.2195892 9.788239
2015-06-14-11:32:15.397	-0.47961426 2.2588654 9.758484
2015-06-14-11:32:15.402	-0.5177002 2.231491 9.782288
2015-06-14-11:32:15.406	-0.5177002 2.231491 9.782288
2015-06-14-11:32:15.412	-0.4677124 2.2136383 9.847748
2015-06-14-11:32:15.417	-0.49508667 2.2386322 9.851318
2015-06-14-11:32:15.421	-0.44509888 2.2255402 9.858459
2015-06-14-11:32:15.426	-0.42129517 2.2350616 9.891785
2015-06-14-11:32:15.439	-0.37368774 2.2410126 9.8715515
2015-06-14-11:32:15.440	-0.33917236 2.2231598 9.753723
2015-06-14-11:32:15.443	-0.26062012 2.237442 9.779907
2015-06-14-11:32:15.447	-0.34155273 2.1743622 9.556152
2015-06-14-11:32:15.452	-0.3772583 2.1850739 9.502594
2015-06-14-11:32:15.457	-0.40463257 2.2124481 9.431183
2015-06-14-11:32:15.461	-0.39749146 2.2493439 9.369293
2015-06-14-11:32:15.467	-0.41296387 2.2350616 9.355011
2015-06-14-11:32:15.471	-0.41177368 2.2326813 9.419281
2015-06-14-11:32:15.477	-0.38916016 2.1696014 9.344299
2015-06-14-11:32:15.481	-0.40344238 2.1826935 9.551392
2015-06-14-11:32:15.486	-0.37606812 2.1588898 9.665649
2015-06-14-11:32:15.491	-0.2951355 2.1374664 9.679932
2015-06-14-11:32:15.497	-0.25704956 2.0910492 9.884644
2015-06-14-11:32:15.501	-0.25942993 2.1338959 9.901306
2015-06-14-11:32:15.506	-0.33203125 2.2600555 9.945343
2015-06-14-11:32:15.511	-0.33322144 2.2219696 9.557343
2015-06-14-11:32:15.517	-0.32250977 2.1315155 9.383575
2015-06-14-11:32:15.521	-0.36654663 2.0541534 9.438324
2015-06-14-11:32:15.527	-0.26657104 2.063675 9.790619
2015-06-14-11:32:15.532	-0.19515991 2.082718 10.082214
2015-06-14-11:32:15.537	-0.17611694 1.9910736 10.064362
2015-06-14-11:32:15.542	-0.22610474 1.9315643 9.957245
2015-06-14-11:32:15.547	-0.15350342 1.9458466 10.107208
2015-06-14-11:32:15.554	-0.20944214 2.019638 10.026276
2015-06-14-11:32:15.557	-0.18206787 2.025589 9.828705
2015-06-14-11:32:15.562	-0.17492676 1.9482269 9.665649
2015-06-14-11:32:15.567	-0.20587158 1.9077606 9.583527
2015-06-14-11:32:15.572	-0.15945435 1.9517975 9.746582
2015-06-14-11:32:15.577	-0.2630005 1.9684601 9.910828
2015-06-14-11:32:15.582	-0.24038696 1.9863129 10.17981
2015-06-14-11:32:15.587	-0.2130127 1.9398956 10.354767
2015-06-14-11:32:15.592	-0.20587158 1.9910736 10.471405
2015-06-14-11:32:15.598	-0.24752808 2.0160675 10.43689
2015-06-14-11:32:15.602	-0.29989624 2.0493927 10.332153
2015-06-14-11:32:15.607	-0.22491455 2.0172577 10.132202
2015-06-14-11:32:15.612	-0.28799438 2.012497 9.937012
2015-06-14-11:32:15.618	-0.26538086 2.0779572 9.769196
2015-06-14-11:32:15.622	-0.25823975 2.0981903 9.553772
2015-06-14-11:32:15.627	-0.20230103 2.0862885 9.570435
2015-06-14-11:32:15.633	-0.28442383 2.03273 9.619232
2015-06-14-11:32:15.638	-0.45700073 2.0720062 9.439514
2015-06-14-11:32:15.643	-0.51651 2.2326813 9.306213
2015-06-14-11:32:15.648	-0.58792114 2.1934052 9.191956
2015-06-14-11:32:15.653	-0.55340576 2.186264 9.234802
2015-06-14-11:32:15.658	-0.5903015 2.1826935 9.378815
2015-06-14-11:32:15.663	-0.52960205 2.167221 9.518066
2015-06-14-11:32:15.668	-0.52127075 2.1612701 9.562103
2015-06-14-11:32:15.673	-0.5331726 2.173172 9.644226
2015-06-14-11:32:15.678	-0.4772339 2.173172 9.6596985
2015-06-14-11:32:15.683	-0.43081665 2.1707916 9.738251
2015-06-14-11:32:15.688	-0.43795776 2.1517487 9.729919
2015-06-14-11:32:15.693	-0.40463257 2.1327057 9.675171
2015-06-14-11:32:15.699	-0.4022522 2.148178 9.644226
2015-06-14-11:32:15.704	-0.4177246 2.1588898 9.664459
2015-06-14-11:32:15.708	-0.47009277 2.1041412 9.532349
2015-06-14-11:32:15.713	-0.45819092 2.135086 9.515686
2015-06-14-11:32:15.719	-0.44628906 2.1196136 9.401428
2015-06-14-11:32:15.723	-0.40820313 2.1398468 9.506165
2015-06-14-11:32:15.728	-0.42843628 2.1446075 9.497833
2015-06-14-11:32:15.733	-0.4927063 2.1100922 9.546631
2015-06-14-11:32:15.739	-0.39154053 2.09581 9.502594
2015-06-14-11:32:15.743	-0.4355774 2.1398468 9.527588
2015-06-14-11:32:15.749	-0.43081665 2.1422272 9.526398
2015-06-14-11:32:15.754	-0.4439087 2.09581 9.565674
2015-06-14-11:32:15.759	-0.45819092 2.1112823 9.609711
2015-06-14-11:32:15.763	-0.48913574 2.1505585 9.600189
2015-06-14-11:32:15.769	-0.47485352 2.116043 9.595428
2015-06-14-11:32:15.774	-0.45581055 2.127945 9.559723
2015-06-14-11:32:15.779	-0.3843994 2.121994 9.490692
2015-06-14-11:32:15.784	-0.3867798 2.116043 9.491882
2015-06-14-11:32:15.789	-0.35940552 2.166031 9.54187
2015-06-14-11:32:15.794	-0.34750366 2.1112823 9.66803
2015-06-14-11:32:15.799	-0.3284607 2.1077118 9.598999
2015-06-14-11:32:15.804	-0.34036255 2.1457977 9.5763855
2015-06-14-11:32:15.809	-0.3855896 2.1291351 9.641846
2015-06-14-11:32:15.814	-0.33917236 2.1303253 9.5763855
2015-06-14-11:32:15.819	-0.4093933 2.167221 9.557343
2015-06-14-11:32:15.824	-0.34274292 2.1957855 9.503784
2015-06-14-11:32:15.829	-0.30941772 2.1398468 9.490692
2015-06-14-11:32:15.834	-0.2951355 2.1850739 9.429993
2015-06-14-11:32:15.839	-0.30703735 2.1696014 9.426422
2015-06-14-11:32:15.844	-0.26776123 2.1291351 9.449036
2015-06-14-11:32:15.849	-0.32131958 2.1588898 9.427612
2015-06-14-11:32:15.856	-0.36535645 2.2124481 9.494263
2015-06-14-11:32:15.860	-0.31298828 2.1969757 9.447845
2015-06-14-11:32:15.864	-0.36297607 2.2017365 9.506165
2015-06-14-11:32:15.869	-0.34988403 2.1934052 9.487122
2015-06-14-11:32:15.874	-0.31298828 2.1934052 9.504974
2015-06-14-11:32:15.880	-0.3022766 2.1898346 9.644226
2015-06-14-11:32:15.884	-0.31298828 2.1957855 9.679932
2015-06-14-11:32:15.889	-0.32608032 2.1826935 9.6918335
2015-06-14-11:32:15.894	-0.36654663 2.1826935 9.875122
2015-06-14-11:32:15.901	-0.29037476 2.1612701 9.835846
2015-06-14-11:32:15.904	-0.33084106 2.1624603 9.8905945
2015-06-14-11:32:15.910	-0.36416626 2.1624603 9.908447
2015-06-14-11:32:15.915	-0.4177246 2.1362762 9.933441
2015-06-14-11:32:15.920	-0.3855896 2.1005707 10.036987
2015-06-14-11:32:15.925	-0.37249756 2.0946198 10.113159
2015-06-14-11:32:15.930	-0.31655884 2.1231842 10.147675
