2015-07-10-13 10 30.221	-11.594757 -7.1114655 -6.3625793
2015-07-10-13 10 30.226	-11.537628 -6.9650726 -6.6208496
2015-07-10-13 10 30.232	-11.525726 -6.840103 -6.745819
2015-07-10-13 10 30.236	-11.495972 -6.7258453 -6.7946167
2015-07-10-13 10 30.241	-11.448364 -6.652054 -6.6910706
2015-07-10-13 10 30.246	-11.510254 -6.5782623 -6.5244446
2015-07-10-13 10 30.251	-11.460266 -6.622299 -6.3185425
2015-07-10-13 10 30.256	-11.480499 -6.6580048 -6.149536
2015-07-10-13 10 30.261	-11.459076 -6.743698 -5.835327
2015-07-10-13 10 30.266	-11.512634 -6.831772 -5.7020264
2015-07-10-13 10 30.272	-11.643555 -6.973404 -5.550873
2015-07-10-13 10 30.276	-11.849457 -7.1055145 -5.366394
2015-07-10-13 10 30.282	-12.12677 -7.1888275 -5.071228
2015-07-10-13 10 30.288	-12.393372 -7.33403 -4.9069824
2015-07-10-13 10 30.293	-12.725433 -7.338791 -4.7355957
2015-07-10-13 10 30.296	-13.082489 -7.423294 -4.6963196
2015-07-10-13 10 30.302	-13.559753 -7.4566193 -4.501129
2015-07-10-13 10 30.307	-14.129852 -7.5089874 -4.430908
2015-07-10-13 10 30.312	-14.724945 -7.5494537 -4.4392395
2015-07-10-13 10 30.317	-15.355743 -7.4209137 -4.3690186
2015-07-10-13 10 30.322	-16.10437 -7.3435516 -5.091461
2015-07-10-13 10 30.327	-16.710175 -7.353073 -4.9831543
2015-07-10-13 10 30.333	-17.363586 -7.33284 -4.1238403
2015-07-10-13 10 30.337	-17.746826 -7.159073 -3.8215332
2015-07-10-13 10 30.342	-17.925354 -6.9127045 -3.5906372
2015-07-10-13 10 30.347	-18.201477 -6.6627655 -3.120514
2015-07-10-13 10 30.352	-18.200287 -6.3485565 -2.3992615
2015-07-10-13 10 30.357	-18.145538 -5.928421 -1.7351379
2015-07-10-13 10 30.362	-17.90036 -5.5082855 -1.1817017
2015-07-10-13 10 30.367	-17.77539 -5.1226654 -0.6937256
2015-07-10-13 10 30.372	-17.689697 -4.714432 -0.22836304
2015-07-10-13 10 30.377	-17.734924 -4.274063 0.23223877
2015-07-10-13 10 30.382	-17.883698 -3.990799 0.6011963
2015-07-10-13 10 30.387	-18.021759 -3.7289581 0.7666321
2015-07-10-13 10 30.392	-18.194336 -3.5111542 0.7963867
2015-07-10-13 10 30.397	-18.331207 -3.4099884 0.78686523
2015-07-10-13 10 30.402	-18.41452 -3.3457184 0.8320923
