2015-06-30-20 33 20.302	-0.13565063 -1.6139984 12.5720825
2015-06-30-20 33 20.307	-0.11303711 -1.6342316 12.357849
2015-06-30-20 33 20.313	-0.10232544 -1.6354218 12.138855
2015-06-30-20 33 20.317	-0.042816162 -1.5461578 11.907959
2015-06-30-20 33 20.322	-0.024963379 -1.464035 11.737762
2015-06-30-20 33 20.328	0.06311035 -1.4342804 11.524719
2015-06-30-20 33 20.333	0.16070557 -1.3771515 11.362854
2015-06-30-20 33 20.337	0.20950317 -1.2866974 11.0784
2015-06-30-20 33 20.343	0.2737732 -1.2129059 10.7951355
2015-06-30-20 33 20.348	0.39041138 -1.2140961 10.50235
2015-06-30-20 33 20.353	0.49752808 -1.1105499 10.138153
2015-06-30-20 33 20.358	0.6439209 -1.0998383 9.809662
2015-06-30-20 33 20.363	0.7926941 -1.1391144 9.515686
2015-06-30-20 33 20.368	0.81173706 -1.1081696 9.168152
2015-06-30-20 33 20.373	0.89385986 -1.1022186 8.922974
2015-06-30-20 33 20.378	0.9164734 -1.0760345 8.676605
2015-06-30-20 33 20.383	0.9985962 -1.059372 8.361206
2015-06-30-20 33 20.388	0.9557495 -1.0891266 8.0624695
2015-06-30-20 33 20.393	0.8831482 -1.0760345 7.8303833
2015-06-30-20 33 20.398	0.7903137 -1.0224762 7.6149597
2015-06-30-20 33 20.403	0.5927429 -0.8570404 7.2662354
2015-06-30-20 33 20.408	0.44158936 -0.81300354 6.981781
2015-06-30-20 33 20.413	0.22021484 -0.7570648 6.7080383
2015-06-30-20 33 20.418	0.02859497 -0.5963898 6.441437
2015-06-30-20 33 20.423	-0.12731934 -0.5130768 6.155792
2015-06-30-20 33 20.428	-0.33322144 -0.35835266 5.852295
2015-06-30-20 33 20.434	-0.55578613 -0.2571869 5.615448
2015-06-30-20 33 20.438	-0.73669434 -0.14530945 5.423828
2015-06-30-20 33 20.443	-0.9556885 0.021316528 5.3571777
2015-06-30-20 33 20.451	-1.2579956 0.15699768 5.083435
2015-06-30-20 33 20.454	-1.3448792 0.22840881 4.972748
2015-06-30-20 33 20.458	-1.3448792 0.22840881 4.972748
2015-06-30-20 33 20.463	-1.427002 0.32600403 4.85849
2015-06-30-20 33 20.469	-1.5007935 0.48191833 4.6061707
2015-06-30-20 33 20.474	-1.5007935 0.48191833 4.6061707
2015-06-30-20 33 20.478	-1.5591125 0.49739075 4.5657043
2015-06-30-20 33 20.483	-1.5579224 0.57237244 4.500244
2015-06-30-20 33 20.489	-1.3365479 0.6652069 4.384796
2015-06-30-20 33 20.495	-1.3365479 0.6652069 4.384796
2015-06-30-20 33 20.499	-1.1235046 0.7413788 4.4240723
2015-06-30-20 33 20.504	-1.0830383 0.72114563 4.5811768
2015-06-30-20 33 20.509	-0.9616394 0.7163849 4.7394714
2015-06-30-20 33 20.514	-0.81048584 0.6306915 5.044159
2015-06-30-20 33 20.519	-0.80096436 0.5735626 5.1619873
2015-06-30-20 33 20.524	-0.7140808 0.48667908 5.396454
2015-06-30-20 33 20.529	-0.7081299 0.38075256 5.5785522
2015-06-30-20 33 20.534	-0.75930786 0.2212677 5.8618164
2015-06-30-20 33 20.539	-0.76882935 0.09272766 6.0927124
